id,characteristic_id,review_id,value
1,1,1,4
2,2,1,3
3,3,1,5
4,4,1,4
5,1,2,4
6,2,2,4
7,3,2,5
8,4,2,4
9,5,3,4
10,5,4,5
11,5,5,5
12,5,6,3
13,5,7,4
14,10,8,2
15,11,8,3
16,12,8,2
17,13,8,1
18,10,9,4
19,11,9,3
20,12,9,4
21,13,9,5
22,10,10,5
23,11,10,5
24,12,10,5
25,13,10,5
26,14,11,5
27,15,11,5
28,16,11,5
29,17,11,5
30,14,12,3
31,15,12,2
32,16,12,3
33,17,12,2
34,22,13,3
35,23,13,4
36,24,13,5
37,25,13,4
38,22,14,2
39,23,14,5
40,24,14,5
41,25,14,3
42,39,15,2
43,40,15,1
44,41,15,4
45,42,15,3
46,39,16,5
47,40,16,4
48,41,16,4
49,42,16,5
50,39,17,3
51,40,17,2
52,41,17,5
53,42,17,2
54,39,18,4
55,40,18,4
56,41,18,1
57,42,18,3
58,39,19,5
59,40,19,4
60,41,19,5
61,42,19,3
62,43,20,1
63,43,21,2
64,43,22,3
65,43,23,4
66,43,24,1
67,43,25,2
68,43,26,5
69,44,27,5
70,45,27,3
71,46,27,3
72,47,27,1
73,44,28,3
74,45,28,1
75,46,28,4
76,47,28,1
77,48,29,5
78,49,29,4
79,50,29,4
80,51,29,1
81,48,30,5
82,49,30,2
83,50,30,4
84,51,30,1
85,48,31,4
86,49,31,5
